D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_58.raw	R2_0.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_59.raw	R2_0.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_60.raw	R2_0.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_61.raw	R1_0.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_62.raw	R1_0.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_63.raw	R1_0.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_64.raw	R1_0.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_65.raw	R1_0.5
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_66.raw	F1_0.1
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_67.raw	F1_0.2
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_68.raw	F1_0.3
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_69.raw	F1_0.4
D:\DATA\Susan\uPillar_Exp2\20240603_EV_MEKONG_VP_FAIMS_Aurora_40SPD_1593_DIA_Susan_uPillar_P2_70.raw	F1_0.5
